trend_id,trend_name,category,date,weekly_interest,region,sentiment,related_brands,growth_rate,forecast_2025
1021,Green Hydrogen,Sustainability,2023-09-28,67,USA,0.44,"Tesla, OpenAI",15.5,97
1022,Green Hydrogen,Tech,2023-10-20,28,India,1.0,"BlackRock, Nike",1.6,57
1023,Green Hydrogen,Tech,2025-03-02,29,India,-0.37,"Tesla, OpenAI",6.8,60
1024,AI Agents,Tech,2024-05-23,12,EU,0.22,"Nike, Tesla",17.8,81
1025,AI Agents,Sustainability,2023-10-25,27,USA,0.3,"Tesla, Nike",5.0,72
1026,DeFi 2.0,Finance,2023-11-06,35,USA,0.86,"Tesla, BlackRock",-1.6,97
1027,Green Hydrogen,Finance,2023-07-26,12,USA,0.33,"BlackRock, Tesla",0.5,59
1028,DeFi 2.0,Finance,2024-12-17,16,EU,-0.32,"Tesla, OpenAI",-1.1,77
1029,AI Agents,Finance,2023-08-10,22,EU,-0.07,"Tesla, Nike",-0.9,85
1030,Green Hydrogen,Finance,2024-02-28,17,EU,0.63,"Tesla, BlackRock",11.8,92
1031,AI Agents,Sustainability,2023-07-11,6,India,1.0,"OpenAI, Nike",5.1,81
1032,ESG Investing,Tech,2023-11-14,23,EU,0.51,"Tesla, Nike",13.8,94
1033,DeFi 2.0,Tech,2024-09-17,25,India,0.79,"Tesla, BlackRock",11.3,95
1034,DeFi 2.0,Finance,2024-08-21,38,China,1.0,"OpenAI, Tesla",0.5,99
1035,DeFi 2.0,Sustainability,2024-10-06,26,India,-0.08,"Nike, Tesla",1.9,88
1036,DeFi 2.0,Tech,2025-04-09,54,USA,0.63,"OpenAI, BlackRock",7.2,97
1037,ESG Investing,Tech,2023-07-19,70,EU,-0.01,"Nike, BlackRock",-0.2,69
1038,Green Hydrogen,Tech,2023-06-17,22,India,0.31,"BlackRock, Tesla",6.9,72
1039,AI Agents,Tech,2023-02-15,65,India,0.29,"BlackRock, Tesla",14.6,80
1040,ESG Investing,Finance,2024-05-02,9,USA,0.21,"Nike, Tesla",7.6,53
1041,AI Agents,Sustainability,2024-07-16,38,China,0.6,"Nike, Tesla",10.9,89
1042,Green Hydrogen,Tech,2024-12-11,27,EU,0.39,"Nike, Tesla",5.5,53
1043,AI Agents,Sustainability,2024-06-27,7,USA,1.0,"Nike, BlackRock",11.8,92
1044,DeFi 2.0,Tech,2023-05-10,40,India,0.73,"Tesla, Nike",-3.5,85
1045,ESG Investing,Tech,2023-01-06,33,India,0.06,"OpenAI, BlackRock",4.0,68
1046,Green Hydrogen,Tech,2024-09-24,11,India,0.68,"OpenAI, Tesla",10.9,57
1047,DeFi 2.0,Tech,2024-11-11,50,USA,-0.3,"Nike, OpenAI",0.1,60
1048,DeFi 2.0,Finance,2025-01-09,18,China,0.57,"BlackRock, Nike",1.8,63
1049,AI Agents,Sustainability,2023-03-27,9,China,0.17,"Tesla, OpenAI",-4.1,72
1050,DeFi 2.0,Sustainability,2023-07-11,12,USA,0.32,"BlackRock, Tesla",-2.0,87
1051,Green Hydrogen,Finance,2025-03-15,10,USA,0.63,"Tesla, BlackRock",6.2,77
1052,ESG Investing,Finance,2023-08-17,3,China,-0.02,"Nike, Tesla",16.5,69
1053,Green Hydrogen,Sustainability,2024-10-02,32,China,0.96,"Nike, OpenAI",3.4,51
1054,ESG Investing,Finance,2024-11-25,24,China,-0.2,"BlackRock, Nike",11.8,98
1055,DeFi 2.0,Finance,2025-04-07,36,USA,0.96,"BlackRock, OpenAI",6.9,60
1056,AI Agents,Finance,2023-09-28,9,China,0.48,"Tesla, BlackRock",12.5,67
1057,DeFi 2.0,Finance,2024-07-15,38,China,-0.07,"Nike, Tesla",3.9,50
1058,AI Agents,Finance,2023-08-03,35,China,0.12,"OpenAI, BlackRock",-3.5,83
1059,DeFi 2.0,Tech,2024-04-19,27,India,1.0,"BlackRock, OpenAI",-1.9,98
1060,DeFi 2.0,Finance,2023-02-24,10,USA,0.33,"Nike, BlackRock",8.5,100
1061,ESG Investing,Tech,2024-11-15,42,China,0.81,"Tesla, BlackRock",0.6,53
1062,DeFi 2.0,Sustainability,2023-07-20,3,USA,0.05,"BlackRock, Nike",-0.6,83
1063,ESG Investing,Sustainability,2023-03-31,45,India,0.05,"OpenAI, Nike",-3.8,91
1064,ESG Investing,Sustainability,2025-01-10,15,USA,0.42,"Nike, BlackRock",19.4,75
1065,DeFi 2.0,Tech,2025-04-05,12,EU,-0.42,"BlackRock, Nike",12.6,96
1066,Green Hydrogen,Finance,2024-09-03,8,USA,0.22,"Nike, BlackRock",6.5,92
1067,AI Agents,Finance,2024-11-30,54,China,0.3,"Tesla, BlackRock",8.3,52
1068,DeFi 2.0,Finance,2025-02-05,33,USA,0.18,"Nike, Tesla",19.2,92
1069,AI Agents,Tech,2025-02-13,27,India,1.0,"OpenAI, BlackRock",9.0,65
1070,AI Agents,Finance,2024-02-22,55,EU,-0.19,"BlackRock, Tesla",13.8,86
1071,DeFi 2.0,Sustainability,2024-10-30,31,USA,0.02,"Tesla, OpenAI",-1.3,91
1072,ESG Investing,Finance,2024-01-07,18,India,0.24,"Tesla, Nike",13.0,50
1073,ESG Investing,Finance,2023-09-20,23,EU,0.13,"Tesla, Nike",1.3,73
1074,Green Hydrogen,Sustainability,2025-03-11,34,USA,0.39,"BlackRock, Tesla",2.0,91
1075,DeFi 2.0,Tech,2023-08-29,49,China,0.03,"BlackRock, OpenAI",16.2,94
1076,ESG Investing,Sustainability,2023-02-24,43,India,0.89,"Nike, BlackRock",6.7,80
1077,ESG Investing,Finance,2023-02-04,21,USA,0.81,"OpenAI, Tesla",-0.5,99
1078,AI Agents,Finance,2024-08-23,39,USA,0.46,"OpenAI, Tesla",9.9,94
1079,ESG Investing,Sustainability,2024-11-13,18,EU,0.33,"BlackRock, Nike",3.8,55
1080,ESG Investing,Finance,2024-10-01,40,USA,-0.01,"Tesla, OpenAI",7.3,75
1081,AI Agents,Tech,2024-03-01,54,China,0.78,"Tesla, BlackRock",11.7,89
1082,AI Agents,Tech,2024-03-14,32,USA,-0.02,"Tesla, OpenAI",9.6,93
1083,Green Hydrogen,Sustainability,2023-11-04,38,India,-0.47,"Nike, BlackRock",16.1,78
1084,Green Hydrogen,Sustainability,2024-12-13,42,India,0.5,"Nike, Tesla",4.7,50
1085,DeFi 2.0,Tech,2025-01-10,24,EU,0.27,"OpenAI, Tesla",-4.3,99
1086,Green Hydrogen,Tech,2023-04-18,41,USA,0.84,"BlackRock, OpenAI",11.4,58
1087,ESG Investing,Sustainability,2023-02-13,27,USA,0.26,"OpenAI, Tesla",12.1,57
1088,Green Hydrogen,Finance,2025-04-07,25,India,0.32,"BlackRock, OpenAI",9.8,56
1089,DeFi 2.0,Tech,2023-09-04,39,India,-0.25,"BlackRock, OpenAI",0.6,90
1090,DeFi 2.0,Finance,2025-01-02,54,China,0.81,"BlackRock, OpenAI",10.3,97
1091,ESG Investing,Sustainability,2024-10-24,15,EU,0.37,"Nike, BlackRock",15.9,92
1092,AI Agents,Tech,2025-01-31,46,China,0.69,"Nike, BlackRock",7.9,71
1093,Green Hydrogen,Finance,2023-10-25,39,EU,-0.39,"Nike, BlackRock",7.8,56
1094,Green Hydrogen,Finance,2023-02-09,51,USA,0.59,"Nike, BlackRock",-0.5,58
1095,DeFi 2.0,Finance,2025-02-24,11,EU,0.29,"Tesla, Nike",5.9,67
1096,ESG Investing,Tech,2023-05-16,34,India,0.29,"BlackRock, Nike",17.0,61
1097,AI Agents,Tech,2023-06-22,61,India,-0.14,"Nike, BlackRock",2.5,77
1098,AI Agents,Finance,2024-05-23,34,USA,0.68,"BlackRock, OpenAI",7.9,99
1099,DeFi 2.0,Tech,2024-10-15,23,EU,-0.03,"Nike, OpenAI",1.7,92
1100,Green Hydrogen,Tech,2025-01-05,19,India,-0.11,"Nike, BlackRock",-2.8,73
1101,DeFi 2.0,Sustainability,2024-02-08,57,China,0.51,"BlackRock, Nike",19.4,54
1102,Green Hydrogen,Sustainability,2024-02-25,45,USA,0.21,"Nike, BlackRock",3.6,54
1103,DeFi 2.0,Finance,2023-02-27,12,USA,1.0,"OpenAI, Tesla",12.5,70
1104,ESG Investing,Finance,2024-10-06,12,China,0.2,"OpenAI, Nike",5.0,53
1105,AI Agents,Tech,2023-05-14,51,USA,-0.09,"Tesla, BlackRock",3.7,81
1106,ESG Investing,Sustainability,2024-04-07,47,India,0.38,"OpenAI, Nike",9.8,95
1107,ESG Investing,Tech,2024-08-17,23,India,-0.01,"OpenAI, BlackRock",5.4,66
1108,AI Agents,Sustainability,2025-03-14,11,India,0.65,"Nike, OpenAI",18.2,100
1109,DeFi 2.0,Sustainability,2024-11-11,14,EU,0.12,"OpenAI, BlackRock",4.5,67
1110,DeFi 2.0,Sustainability,2023-10-09,60,China,-0.25,"Nike, OpenAI",0.3,81
1111,ESG Investing,Finance,2024-08-24,44,China,0.2,"BlackRock, Nike",19.4,83
1112,AI Agents,Tech,2023-09-24,20,China,0.32,"Tesla, OpenAI",12.4,64
1113,AI Agents,Tech,2024-02-14,12,USA,0.27,"OpenAI, BlackRock",6.3,91
1114,ESG Investing,Finance,2024-11-11,13,USA,0.34,"BlackRock, OpenAI",4.7,62
1115,ESG Investing,Tech,2023-06-13,28,EU,-0.0,"BlackRock, Nike",7.9,94
1116,ESG Investing,Tech,2023-05-28,32,USA,0.4,"BlackRock, OpenAI",5.0,82
1117,DeFi 2.0,Finance,2024-09-23,22,China,0.41,"Tesla, OpenAI",3.8,82
1118,Green Hydrogen,Finance,2025-02-22,16,China,0.7,"OpenAI, Tesla",16.0,57
1119,Green Hydrogen,Tech,2024-12-09,12,EU,0.61,"Tesla, Nike",1.5,63
1120,AI Agents,Tech,2023-03-30,2,India,0.45,"OpenAI, Nike",17.3,93
1121,AI Agents,Sustainability,2023-01-12,14,EU,0.93,"BlackRock, OpenAI",18.2,52
1122,Green Hydrogen,Sustainability,2023-06-21,35,EU,0.46,"Nike, Tesla",11.2,72
1123,AI Agents,Finance,2023-08-11,46,USA,0.44,"BlackRock, Tesla",4.0,86
1124,Green Hydrogen,Sustainability,2023-08-22,49,China,-0.45,"OpenAI, BlackRock",16.0,72
1125,DeFi 2.0,Finance,2024-08-25,38,EU,0.31,"Nike, Tesla",4.6,74
1126,DeFi 2.0,Finance,2023-07-15,69,India,-0.29,"BlackRock, OpenAI",17.7,69
1127,Green Hydrogen,Tech,2024-08-05,38,USA,0.8,"BlackRock, Nike",-1.3,88
1128,DeFi 2.0,Sustainability,2024-09-17,26,China,0.63,"Nike, OpenAI",13.8,63
1129,ESG Investing,Finance,2024-04-20,8,EU,0.46,"BlackRock, Nike",-1.7,73
1130,Green Hydrogen,Tech,2023-08-14,48,China,0.19,"BlackRock, Tesla",9.9,83
1131,AI Agents,Tech,2023-05-09,15,USA,0.08,"Tesla, BlackRock",9.9,76
1132,ESG Investing,Tech,2023-07-15,27,India,-0.01,"Tesla, Nike",16.1,96
1133,AI Agents,Finance,2023-09-04,9,China,0.63,"Nike, Tesla",7.9,54
1134,ESG Investing,Sustainability,2024-07-16,36,USA,1.0,"Nike, BlackRock",11.1,91
1135,ESG Investing,Finance,2024-10-11,15,USA,0.54,"Nike, OpenAI",-2.5,83
1136,AI Agents,Tech,2025-04-16,12,India,0.94,"Tesla, BlackRock",8.1,84
1137,AI Agents,Sustainability,2025-02-26,19,India,0.61,"BlackRock, OpenAI",8.4,54
1138,AI Agents,Finance,2023-03-02,18,India,0.24,"Tesla, OpenAI",2.6,73
1139,Green Hydrogen,Tech,2023-01-01,14,USA,-0.63,"BlackRock, OpenAI",8.2,50
1140,ESG Investing,Sustainability,2023-01-22,17,USA,0.2,"OpenAI, Tesla",8.4,98
1141,AI Agents,Tech,2023-09-07,7,EU,-0.23,"Nike, BlackRock",8.1,84
1142,AI Agents,Finance,2023-09-11,17,EU,0.19,"BlackRock, Nike",16.5,81
1143,AI Agents,Sustainability,2024-05-04,11,China,0.36,"OpenAI, Tesla",14.3,82
1144,Green Hydrogen,Finance,2024-03-03,26,China,0.07,"Tesla, OpenAI",3.7,75
1145,ESG Investing,Tech,2024-08-03,7,USA,-0.14,"Tesla, OpenAI",18.7,99
1146,AI Agents,Tech,2024-07-18,13,India,0.8,"Nike, Tesla",2.8,91
1147,Green Hydrogen,Sustainability,2023-04-02,3,China,0.2,"Tesla, OpenAI",2.9,89
1148,DeFi 2.0,Tech,2023-05-17,11,India,0.67,"Tesla, BlackRock",11.6,56
1149,ESG Investing,Tech,2025-02-03,54,India,0.01,"OpenAI, BlackRock",4.6,75
1150,AI Agents,Finance,2024-03-20,15,USA,0.2,"Tesla, Nike",-3.2,71
1151,AI Agents,Finance,2023-05-14,19,EU,0.4,"Tesla, Nike",19.5,91
1152,AI Agents,Finance,2023-02-21,9,EU,0.43,"BlackRock, Nike",18.6,82
1153,ESG Investing,Sustainability,2023-05-01,17,India,-0.03,"OpenAI, Tesla",7.2,58
1154,DeFi 2.0,Finance,2023-08-04,5,China,-0.53,"Nike, OpenAI",-3.3,69
1155,Green Hydrogen,Finance,2023-11-26,41,China,0.29,"Nike, BlackRock",19.5,98
1156,Green Hydrogen,Finance,2024-04-24,21,India,-0.24,"BlackRock, Tesla",4.3,62
1157,DeFi 2.0,Tech,2024-07-16,54,India,0.34,"BlackRock, Tesla",4.8,99
1158,AI Agents,Sustainability,2023-09-04,40,USA,0.71,"Tesla, Nike",10.5,65
1159,ESG Investing,Tech,2023-03-19,20,USA,0.93,"Nike, Tesla",3.6,71
1160,ESG Investing,Sustainability,2024-05-12,9,USA,0.51,"Nike, Tesla",3.3,75
1161,AI Agents,Sustainability,2023-05-29,28,EU,0.53,"Tesla, Nike",7.6,61
1162,Green Hydrogen,Sustainability,2024-12-25,24,EU,-0.08,"OpenAI, Nike",11.9,96
1163,DeFi 2.0,Finance,2023-03-17,61,India,0.37,"BlackRock, OpenAI",11.8,60
1164,DeFi 2.0,Tech,2023-11-08,17,EU,0.76,"BlackRock, Tesla",12.9,53
1165,Green Hydrogen,Sustainability,2023-08-11,15,USA,0.17,"BlackRock, OpenAI",19.6,91
1166,DeFi 2.0,Sustainability,2023-06-24,9,USA,0.55,"Tesla, Nike",14.0,81
1167,AI Agents,Tech,2025-03-04,64,India,0.76,"Tesla, Nike",18.6,79
1168,Green Hydrogen,Tech,2023-05-20,20,EU,0.45,"Tesla, Nike",11.4,66
1169,Green Hydrogen,Tech,2023-05-17,24,EU,0.72,"OpenAI, BlackRock",3.0,76
1170,DeFi 2.0,Finance,2023-05-15,21,China,0.38,"Nike, BlackRock",-2.6,76
1171,Green Hydrogen,Sustainability,2024-12-08,37,India,0.48,"BlackRock, Nike",-4.9,79
1172,DeFi 2.0,Tech,2023-07-14,23,USA,0.57,"Tesla, BlackRock",17.3,87
1173,AI Agents,Tech,2024-03-27,14,EU,-0.26,"BlackRock, Nike",-4.2,59
1174,AI Agents,Tech,2024-02-05,31,India,0.11,"BlackRock, OpenAI",7.7,67
1175,ESG Investing,Finance,2025-01-04,21,China,0.04,"OpenAI, Tesla",0.7,68
1176,AI Agents,Tech,2023-10-02,39,China,0.66,"Nike, BlackRock",17.4,65
1177,ESG Investing,Finance,2025-03-21,36,USA,0.79,"Nike, BlackRock",14.8,100
1178,Green Hydrogen,Sustainability,2024-07-13,7,EU,0.15,"Tesla, OpenAI",11.4,100
1179,ESG Investing,Finance,2025-04-10,14,EU,0.18,"OpenAI, Tesla",10.9,55
1180,AI Agents,Sustainability,2023-05-31,22,China,-0.01,"OpenAI, BlackRock",14.1,61
1181,ESG Investing,Finance,2024-08-31,7,EU,0.23,"Tesla, OpenAI",1.7,94
1182,DeFi 2.0,Finance,2024-05-31,15,China,0.57,"BlackRock, Nike",0.3,78
1183,Green Hydrogen,Finance,2024-11-30,28,China,0.09,"Nike, OpenAI",16.5,56
1184,ESG Investing,Finance,2023-02-06,22,USA,0.78,"Tesla, OpenAI",9.6,63
1185,DeFi 2.0,Sustainability,2024-02-27,32,China,0.44,"BlackRock, Tesla",-2.6,74
1186,DeFi 2.0,Tech,2023-06-16,19,China,-0.31,"Nike, Tesla",9.7,85
1187,ESG Investing,Finance,2023-09-18,13,USA,0.52,"BlackRock, Nike",14.8,74
1188,ESG Investing,Finance,2025-03-20,44,India,-0.02,"Nike, OpenAI",0.6,78
1189,ESG Investing,Finance,2025-02-08,51,India,0.58,"Nike, BlackRock",-4.0,73
1190,DeFi 2.0,Tech,2023-02-15,12,India,0.78,"OpenAI, BlackRock",-4.3,100
1191,ESG Investing,Finance,2023-08-15,40,India,-0.36,"OpenAI, Nike",19.2,87
1192,Green Hydrogen,Finance,2024-05-25,27,India,0.74,"Nike, Tesla",17.5,52
1193,Green Hydrogen,Tech,2023-04-29,26,India,0.7,"Tesla, OpenAI",19.2,87
1194,Green Hydrogen,Finance,2023-02-08,51,EU,0.36,"OpenAI, BlackRock",13.9,51
1195,DeFi 2.0,Finance,2023-02-27,13,China,0.21,"BlackRock, OpenAI",14.6,91
1196,DeFi 2.0,Finance,2023-01-12,24,EU,0.32,"OpenAI, Nike",14.4,88
1197,AI Agents,Sustainability,2024-01-13,55,China,0.41,"Nike, BlackRock",15.9,59
1198,DeFi 2.0,Sustainability,2024-10-08,21,China,0.41,"BlackRock, Tesla",2.7,70
1199,Green Hydrogen,Tech,2023-08-26,25,USA,0.15,"Tesla, Nike",-1.6,58
1200,ESG Investing,Sustainability,2024-04-30,19,India,-0.31,"Tesla, OpenAI",10.4,90
1201,ESG Investing,Finance,2023-12-23,37,China,0.25,"BlackRock, Nike",19.2,96
1202,ESG Investing,Tech,2023-09-01,4,India,1.0,"BlackRock, Nike",18.9,67
1203,Green Hydrogen,Tech,2023-12-20,10,China,0.75,"Nike, BlackRock",16.6,93
1204,AI Agents,Tech,2023-06-17,39,China,0.26,"OpenAI, Nike",17.1,61
1205,ESG Investing,Sustainability,2024-07-03,5,India,0.66,"Nike, Tesla",-0.1,99
1206,DeFi 2.0,Finance,2024-09-25,36,USA,0.88,"Tesla, BlackRock",-3.6,80
1207,Green Hydrogen,Sustainability,2024-10-03,34,USA,0.58,"Tesla, Nike",11.7,65
1208,Green Hydrogen,Finance,2023-05-26,30,China,0.83,"Tesla, Nike",8.3,51
1209,DeFi 2.0,Finance,2023-05-20,39,EU,0.45,"OpenAI, Tesla",-3.8,89
1210,AI Agents,Tech,2023-03-16,15,EU,-0.27,"Tesla, Nike",0.3,53
1211,ESG Investing,Tech,2023-05-20,5,USA,0.19,"Nike, BlackRock",13.1,74
1212,Green Hydrogen,Sustainability,2023-03-11,30,China,-0.67,"BlackRock, OpenAI",8.9,96
1213,AI Agents,Finance,2024-01-27,55,USA,0.29,"BlackRock, Tesla",5.2,63
1214,AI Agents,Tech,2024-02-13,18,India,-0.16,"OpenAI, BlackRock",3.7,78
1215,ESG Investing,Finance,2024-06-05,20,India,-0.05,"OpenAI, Nike",14.3,73
1216,AI Agents,Tech,2024-01-26,37,China,0.19,"BlackRock, Nike",-4.8,78
1217,Green Hydrogen,Finance,2024-12-13,34,China,0.41,"BlackRock, Tesla",17.2,58
1218,Green Hydrogen,Tech,2025-02-18,14,India,0.04,"OpenAI, Nike",14.6,100
1219,DeFi 2.0,Finance,2023-04-10,26,India,0.35,"OpenAI, BlackRock",19.9,85
1220,Green Hydrogen,Tech,2024-06-18,23,USA,0.02,"OpenAI, Tesla",-3.4,94
1221,DeFi 2.0,Tech,2025-01-13,19,EU,-0.11,"Nike, Tesla",15.1,97
1222,ESG Investing,Finance,2023-12-26,18,India,1.0,"BlackRock, Nike",6.2,71
1223,Green Hydrogen,Tech,2024-12-24,51,EU,0.53,"OpenAI, Nike",20.0,97
1224,DeFi 2.0,Tech,2024-08-08,41,China,0.11,"Tesla, Nike",0.4,92
1225,Green Hydrogen,Tech,2024-02-23,69,China,1.0,"BlackRock, Tesla",7.5,63
1226,Green Hydrogen,Finance,2024-10-21,43,EU,0.56,"BlackRock, Tesla",4.6,84
1227,DeFi 2.0,Sustainability,2025-02-24,5,China,-0.2,"OpenAI, BlackRock",12.0,73
1228,ESG Investing,Finance,2023-10-27,14,India,0.08,"BlackRock, Tesla",18.4,77
1229,ESG Investing,Sustainability,2024-06-01,14,USA,0.18,"Nike, Tesla",7.0,90
1230,Green Hydrogen,Tech,2023-12-01,38,EU,0.76,"Nike, OpenAI",9.9,77
1231,AI Agents,Sustainability,2024-06-02,4,USA,0.27,"Nike, OpenAI",14.7,97
1232,Green Hydrogen,Finance,2024-03-19,6,EU,0.28,"OpenAI, Nike",1.7,100
1233,AI Agents,Finance,2025-02-17,62,EU,0.4,"Nike, Tesla",11.9,81
1234,DeFi 2.0,Sustainability,2025-04-11,8,India,0.16,"OpenAI, Nike",14.0,51
1235,DeFi 2.0,Finance,2025-03-17,15,EU,0.79,"OpenAI, BlackRock",11.8,85
1236,Green Hydrogen,Tech,2023-05-06,28,India,0.2,"OpenAI, Tesla",2.5,88
1237,Green Hydrogen,Tech,2023-01-21,23,EU,0.02,"OpenAI, Nike",-2.8,76
1238,Green Hydrogen,Finance,2023-11-27,38,EU,0.67,"BlackRock, OpenAI",-0.0,79
1239,ESG Investing,Sustainability,2023-10-03,59,USA,1.0,"OpenAI, BlackRock",0.4,76
1240,AI Agents,Sustainability,2023-12-19,56,USA,0.05,"OpenAI, Nike",13.4,97
1241,DeFi 2.0,Sustainability,2025-04-24,48,USA,-0.07,"Tesla, BlackRock",17.3,50
1242,DeFi 2.0,Finance,2023-01-29,25,China,0.38,"BlackRock, Tesla",4.8,95
1243,AI Agents,Finance,2024-02-02,40,India,0.48,"Nike, OpenAI",1.2,50
1244,Green Hydrogen,Sustainability,2023-07-24,50,USA,0.42,"Tesla, Nike",8.6,61
1245,DeFi 2.0,Tech,2024-10-23,44,EU,0.53,"OpenAI, Nike",2.9,73
1246,AI Agents,Tech,2024-09-28,21,USA,-0.19,"Nike, OpenAI",-4.5,88
1247,Green Hydrogen,Sustainability,2024-03-20,31,USA,0.35,"OpenAI, BlackRock",16.6,79
1248,Green Hydrogen,Tech,2023-04-08,19,China,-0.28,"BlackRock, Tesla",12.6,99
1249,Green Hydrogen,Sustainability,2024-02-20,7,USA,-0.22,"OpenAI, Nike",2.0,84
1250,Green Hydrogen,Sustainability,2023-03-13,9,China,0.7,"Nike, BlackRock",12.6,63
1251,ESG Investing,Sustainability,2023-04-26,19,EU,0.29,"Nike, Tesla",-4.6,54
1252,ESG Investing,Tech,2024-11-04,18,USA,0.85,"Nike, OpenAI",15.3,87
1253,ESG Investing,Finance,2024-08-30,37,USA,0.46,"BlackRock, Nike",0.9,67
1254,ESG Investing,Tech,2024-04-26,17,China,-0.1,"Nike, OpenAI",0.8,69
1255,Green Hydrogen,Tech,2025-04-07,27,China,0.46,"OpenAI, Nike",1.6,93
1256,AI Agents,Sustainability,2025-01-28,8,USA,0.52,"Tesla, BlackRock",4.9,65
1257,ESG Investing,Tech,2024-08-10,6,China,0.39,"Tesla, Nike",4.5,61
1258,DeFi 2.0,Sustainability,2024-10-28,30,USA,0.85,"OpenAI, Nike",13.4,62
1259,Green Hydrogen,Finance,2023-07-28,32,India,0.19,"Nike, Tesla",3.7,53
1260,ESG Investing,Sustainability,2023-10-05,49,India,1.0,"Nike, Tesla",16.1,97
1261,DeFi 2.0,Sustainability,2024-02-08,17,China,0.62,"OpenAI, Nike",16.5,87
1262,ESG Investing,Finance,2024-04-29,23,India,0.41,"Tesla, BlackRock",-4.1,71
1263,AI Agents,Tech,2024-06-14,72,EU,0.16,"Tesla, BlackRock",-2.6,70
1264,Green Hydrogen,Tech,2023-02-09,32,USA,0.24,"BlackRock, Tesla",5.8,59
1265,DeFi 2.0,Sustainability,2023-12-27,6,China,0.43,"Tesla, Nike",5.5,67
1266,ESG Investing,Tech,2023-03-07,34,China,0.96,"Tesla, Nike",3.8,56
1267,Green Hydrogen,Sustainability,2024-05-10,30,China,0.42,"OpenAI, Tesla",16.1,94
1268,ESG Investing,Sustainability,2023-06-19,21,China,0.22,"Nike, BlackRock",11.5,56
1269,Green Hydrogen,Finance,2023-03-22,15,China,-0.0,"Tesla, BlackRock",14.6,75
1270,ESG Investing,Tech,2025-02-18,24,China,-0.32,"Tesla, OpenAI",3.8,80
1271,Green Hydrogen,Sustainability,2024-07-23,17,India,0.58,"OpenAI, Nike",-3.0,51
1272,DeFi 2.0,Finance,2024-03-04,63,USA,0.28,"Nike, BlackRock",-0.2,62
1273,ESG Investing,Finance,2023-11-07,10,India,0.93,"Nike, BlackRock",15.8,93
1274,ESG Investing,Sustainability,2023-03-01,14,China,0.54,"OpenAI, BlackRock",0.3,95
1275,AI Agents,Finance,2023-12-28,18,EU,0.61,"Tesla, Nike",13.0,70
1276,ESG Investing,Finance,2024-07-07,55,China,0.35,"OpenAI, Tesla",4.0,99
1277,ESG Investing,Tech,2024-05-09,35,USA,-0.06,"OpenAI, Nike",5.4,56
1278,DeFi 2.0,Sustainability,2025-01-11,3,EU,0.46,"Nike, Tesla",18.5,91
1279,DeFi 2.0,Sustainability,2023-02-23,30,India,0.12,"BlackRock, OpenAI",9.2,58
1280,DeFi 2.0,Finance,2023-09-22,41,India,0.43,"Nike, BlackRock",17.1,86
1281,ESG Investing,Sustainability,2023-04-17,20,China,-0.11,"Nike, OpenAI",6.9,63
1282,AI Agents,Sustainability,2025-02-16,35,India,0.49,"BlackRock, OpenAI",1.1,53
1283,Green Hydrogen,Tech,2025-04-08,64,EU,-0.71,"Nike, OpenAI",15.7,55
1284,Green Hydrogen,Sustainability,2023-11-11,33,EU,0.23,"Tesla, BlackRock",0.9,81
